x,stations,resapprho,NORTH
790752,40,1101,1092750
790747,70,1147,1092758
790743,100,1345,1092763
790738,130,1369,1092770
790733,160,1406,1092776.5
790729,190,1543,1092783
790724,220,1480,1092789.5
790720,250,1517,1092796
790715,280,1754,1092802.5
790711,310,1591,1092809
790284,340,1260,1093124
790281,370,1200,1093118
790277,400,1160,1093110
790270,430,1280,1093104
790265,460,1100,1093097
790260,490,1410,1093092
790254,520,1680,1093086
790248,550,1580,1093079
790243,580,950,1093073
790237,610,1750,1093067
790231,640,1320,1093061
790224,670,1370,1093054
790218,700,1390,1093049
790211,730,1700,1093043
790206,760,1230,1093037
790200,790,1480,1093031
790194,820,1400,1093027
790187,850,800,1093022
790181,880,1660,1093016
790175,910,1930,1093011
790210,940,1680,1093010
790214,970,1300,1093016
790218,1000,930,1093026
790221,1030,1460,1093033
790224,1060,1450,1093040
790228,1090,950,1093049
790232,1120,500,1093057
790234,1150,1300,1093063
790237,1180,1630,1093071
790240,1210,1400,1093078
790244,1240,1670,1093085
790246,1270,1540,1093094
790250,1300,930,1093101
790254,1330,1130,1093108
790255,1360,1380,1093116
