x,stations,resapprho,NORTH,oppp ,add1
790752,40,1101,1092750,12,0.25
790747,70,1147,1092758,15,0.89
790743,100,1345,1092763,18,0.1
790738,130,1369,1092770,21,0.263333333
790733,160,1406,1092776.5,24,0.188333333
790729,190,1543,1092783,27,0.113333333
790724,220,1480,1092789.5,30,0.038333333
790720,250,1517,1092796,33,-0.036666667
790715,280,1754,1092802.5,36,-0.111666667
790711,310,1591,1092809,39,-0.186666667
790284,340,1260,1093124,42,-0.261666667
790281,370,1200,1093118,45,-0.336666667
790277,400,1160,1093110,48,-0.411666667
790270,430,1280,1093104,51,-0.486666667
790265,460,1100,1093097,54,-0.561666667
790260,490,1410,1093092,57,-0.636666667
790254,520,1680,1093086,60,-0.711666667
790248,550,1580,1093079,63,-0.786666667
790243,580,950,1093073,66,-0.861666667
790237,610,1750,1093067,69,-0.936666667
790231,640,1320,1093061,72,-1.011666667
790224,670,1370,1093054,75,-1.086666667
790218,700,1390,1093049,78,-1.161666667
790211,730,1700,1093043,81,-1.236666667
790206,760,1230,1093037,84,-1.311666667
790200,790,1480,1093031,87,-1.386666667
790194,820,1400,1093027,90,-1.461666667
790187,850,800,1093022,93,-1.536666667
790181,880,1660,1093016,96,-1.611666667
790175,910,1930,1093011,99,-1.686666667
790210,940,1680,1093010,102,-1.761666667
790214,970,1300,1093016,105,-1.836666667
790218,1000,930,1093026,108,-1.911666667
790221,1030,1460,1093033,111,-1.986666667
790224,1060,1450,1093040,114,-2.061666667
790228,1090,950,1093049,117,-2.136666667
790232,1120,500,1093057,120,-2.211666667
790234,1150,1300,1093063,123,-2.286666667
790237,1180,1630,1093071,126,-2.361666667
790240,1210,1400,1093078,129,-2.436666667
790244,1240,1670,1093085,132,-2.511666667
790246,1270,1540,1093094,135,-2.586666667
790250,1300,930,1093101,138,-2.661666667
790254,1330,1130,1093108,141,-2.736666667
790255,1360,1380,1093116,144,-2.811666667
