pk,x,y,rho
0,790752,1092750,1101
10,790747,1092758,1147
20,790743,1092763,1345
30,790738,1092770,1369
40,790733,1092776.5,1406
50,790729,1092783,1543
60,790724,1092789.5,1480
70,790720,1092796,1517
80,790715,1092802.5,1754
90,790711,1092809,1591
100,790284,1093124,1260
110,790281,1093118,1200
120,790277,1093110,1160
130,790270,1093104,1280
140,790265,1093097,1100
150,790260,1093092,1410
160,790254,1093086,1680
170,790248,1093079,1580
180,790243,1093073,950
190,790237,1093067,1750
200,790231,1093061,1320
210,790224,1093054,1370
220,790218,1093049,1390
230,790211,1093043,1700
240,790206,1093037,1230
250,790200,1093031,1480
260,790194,1093027,1400
270,790187,1093022,800
280,790181,1093016,1660
290,790175,1093011,1930
300,790210,1093010,1680
310,790214,1093016,1300
320,790218,1093026,930
330,790221,1093033,1460
340,790224,1093040,1450
350,790228,1093049,950
360,790232,1093057,500
370,790234,1093063,1300
380,790237,1093071,1630
390,790240,1093078,1400
400,790244,1093085,1670
410,790246,1093094,1540
420,790250,1093101,930
430,790254,1093108,1130
440,790255,1093116,1380
