AB/2,MN/2,SE1,SE2,SE3,SE4
1,0.4,107,93,75,104
2,0.4,97,91,49,70
3,0.4,69,58,44,50
4,0.4,56,48,41,39
3,1,85,55,44,53
4,1,69,44,41,41
5,1,56,40,40,39
6,1,45,35,38,36
8,1,40,35,38,36
10,1,39,35,38,37
12,1,37,36,38,37
14,1,35,35,38,36
16,1,35,36,39,35
18,1,35,35,38,35
20,1,34,34,38,36
24,1,34,33,40,38
20,5,36,36,38,37
24,5,36,35,40,39
28,5,36,36,40,42
32,5,36,36,41,45
36,5,36,38,42,48
40,5,38,41,43,51
45,5,40,44,45,55
50,5,43,48,48,59
55,5,45,51,51,62
60,5,47,56,54,67
55,10,46,51,54,61
60,10,48,56,58,67
70,10,56,66,67,77
80,10,63,75,76,88
90,10,70,86,86,99
100,10,79,96,98,110
110,10,84,104,104,118
