hole_id,year,drilling_type,longitude,latitude,easting,northing,ground_height_distance,depth,opening_date,end_date
NSGC01,2018.0,Engineering geological drilling,113.460648,22.75278,2519305.0,19752788.0,3.5,58.75,2018-07-31,2018-08-01
NSGC03,2018.0,Engineering geological drilling,113.487866,22.73367,2517234.0,19755621.0,2.8,200.71,2018-07-09,2018-07-11
NSGC05,2018.0,Engineering geological drilling,113.510836,22.721525,2515928.0,19758005.0,3.0,37.75,2018-07-23,2018-07-23
NSGC07,2018.0,Engineering geological drilling,113.510471,22.698312,2513355.0,19758011.0,3.5,65.1,2018-07-21,2018-07-23
NSGC08,2018.0,Engineering geological drilling,113.543854,22.702793,2513910.0,19761435.0,2.2,53.5,2018-07-25,2018-07-26
NSGC09,2018.0,Engineering geological drilling,113.543542,22.677486,2511105.0,19761451.0,7.5,53.89,2018-07-20,2018-07-21
NSGC11,2018.0,Engineering geological drilling,113.576096,22.665406,2509824.0,19764822.0,1.5,52.33,2018-07-18,2018-07-20
NSGC15,2018.0,Engineering geological drilling,113.534594,22.740199,2518039.0,19760412.0,1.5,53.2,2018-07-25,2018-07-26
NSGC17,2018.0,Engineering geological drilling,113.490049,22.75319,2519401.0,19755809.0,3.8,68.4,2018-07-28,2018-07-29
NSGC20,2018.0,Engineering geological drilling,113.485269,22.780472,2522416.0,19755267.0,3.5,52.85,2018-07-29,2018-07-30
NSGC25,2018.0,Engineering geological drilling,113.525079,22.781408,2522589.0,19759356.0,3.0,200.28,2018-07-01,2018-07-23
NSGC26,2018.0,Engineering geological drilling,113.50361,22.792548,2523786.0,19757129.0,2.7,20.8,2018-07-13,2018-07-14
NSGC27,2018.0,Engineering geological drilling,113.483875,22.804497,2525076.0,19755079.0,5.0,74.42,2018-07-09,2018-07-11
NSGC29,2018.0,Engineering geological drilling,113.533223,22.805552,2525279.0,19760147.0,8.0,38.0,2018-07-16,2018-07-17
NSGC31,2018.0,Engineering geological drilling,113.582882,22.791662,2523828.0,19765276.0,4.5,27.2,2018-07-13,2018-07-14
NSGC33,2018.0,Engineering geological drilling,113.587602,22.748887,2519096.0,19765844.0,6.0,40.0,2018-07-09,2018-07-11
NSGC34,2018.0,Engineering geological drilling,113.575687,22.743837,2518515.0,19764629.0,8.5,57.12,2018-07-01,2018-07-04
NSGC35,2018.0,Engineering geological drilling,113.600493,22.744274,2518608.0,19767178.0,8.0,54.0,2018-07-06,2018-07-08
NSGC38,2018.0,Engineering geological drilling,113.633098,22.720144,2515993.0,19770577.0,1.5,47.85,2018-07-18,2018-07-19
NSGC39,2018.0,Engineering geological drilling,113.614377,22.691621,2512798.0,19768708.0,0.9,46.05,2018-07-16,2018-07-16
NSSW04,2018.0,Hydrogeological drilling,113.545216,22.772642,2521653.0,19761442.0,1.0,62.0,2018-08-17,2018-08-18
NSSW01,2018.0,Hydrogeological drilling,113.503465,22.762203,2520423.0,19757171.0,6.8,41.38,2018-08-18,2018-08-19
NSSW03,2018.0,Hydrogeological drilling,113.540026,22.732497,2517195.0,19760985.0,0.5,66.11,2018-08-01,2018-08-01
NSSW02,2018.0,Hydrogeological drilling,113.589689,22.685102,2512031.0,19766182.0,2.5,52.53,2018-08-03,2018-08-04
19NSGC01,2019.0,Engineering geological drilling,113.354757,22.844081,2529245.0,19741744.0,2.0,80.5,2019-07-23,2019-07-30
19NSGC02,2019.0,Engineering geological drilling,113.509257,23.07278,2554851.0,19757179.0,7.0,201.75,2019-07-24,2019-08-05
19NSGC03,2019.0,Engineering geological drilling,113.382204,22.8658,2531697.0,19744524.0,3.0,200.75,2019-07-07,2019-07-21
19NSGC04,2019.0,Engineering geological drilling,113.395885,22.899021,2535401.0,19745869.0,7.0,70.4,2019-07-18,2019-07-23
19NSGC05,2019.0,Engineering geological drilling,113.446717,22.903164,2535946.0,19751080.0,5.0,70.05,2019-07-17,2019-07-24
19NSGC06,2019.0,Engineering geological drilling,113.424362,22.859857,2531109.0,19748864.0,1.0,80.3,2019-07-08,2019-07-15
19NSGC07,2019.0,Engineering geological drilling,113.409278,22.833338,2528145.0,19747363.0,5.0,71.45,2019-07-17,2019-07-21
19NSGC08,2019.0,Engineering geological drilling,113.674389,23.368203,2587894.0,19773509.0,4.0,57.7,2019-07-03,2019-07-06
19NSGC09,2019.0,Engineering geological drilling,113.377728,22.797661,2524139.0,19744186.0,4.0,50.2,2019-06-29,2019-07-01
19NSGC10,2019.0,Engineering geological drilling,113.722726,23.248762,2574748.0,19778704.0,3.0,70.2,2019-06-30,2019-07-04
19NSGC11,2019.0,Engineering geological drilling,113.45086,22.773506,2521585.0,19751744.0,5.0,200.65,2019-07-09,2019-07-24
19NSGC12,2019.0,Engineering geological drilling,113.463312,22.802001,2524764.0,19752971.0,3.0,80.6,2019-07-06,2019-07-11
19NSGC13,2019.0,Engineering geological drilling,113.472194,22.843789,2529410.0,19753806.0,3.0,70.1,2019-07-13,2019-07-16
19NSGC14,2019.0,Engineering geological drilling,113.485228,22.860749,2531312.0,19755113.0,10.0,80.1,2019-07-24,2019-07-29
19NSGC15,2019.0,Engineering geological drilling,113.523524,22.853857,2530615.0,19759059.0,4.0,80.92,2019-06-18,2019-06-22
19NSGC16,2019.0,Engineering geological drilling,113.549767,22.852437,2530504.0,19761757.0,3.0,101.0,2019-06-05,2019-06-15
19NSGC17,2019.0,Engineering geological drilling,113.529663,22.826797,2527627.0,19759741.0,6.0,60.2,2019-06-23,2019-06-29
19NSGC18,2019.0,Engineering geological drilling,113.529747,22.810255,2525794.0,19759781.0,1.8,70.4,2019-07-13,2019-07-17
19NSGC19,2019.0,Engineering geological drilling,113.558803,22.816604,2526549.0,19762754.0,5.0,61.0,2019-07-05,2019-07-10
19NSGC20,2019.0,Engineering geological drilling,113.576034,22.797566,2524470.0,19764561.0,12.0,72.0,2019-06-26,2019-07-03
19NSGC21,2019.0,Engineering geological drilling,113.511761,22.759338,2520120.0,19758029.0,0.1,79.3,2019-06-21,2019-06-27
19NSGC22,2019.0,Engineering geological drilling,113.551124,22.728196,2516738.0,19762134.0,3.0,200.35,2019-06-14,2019-07-04
19NSGC23,2019.0,Engineering geological drilling,113.559581,22.687084,2512197.0,19763082.0,6.0,203.15,2019-06-20,2019-07-05
19NSGC24,2019.0,Engineering geological drilling,113.61884,22.708981,2514730.0,19769133.0,4.0,200.2,2019-06-01,2019-06-18
19NSGC25,2019.0,Engineering geological drilling,113.548327,22.642254,2507209.0,19762010.0,5.0,73.2,2019-06-14,2019-06-19
19NSGC26,2019.0,Engineering geological drilling,113.599662,22.660126,2509281.0,19767256.0,3.0,80.9,2019-06-01,2019-06-06
19NSGC27,2019.0,Engineering geological drilling,113.615527,22.658974,2509182.0,19768890.0,3.0,71.1,2019-06-07,2019-06-11
19NSGC28,2019.0,Engineering geological drilling,113.665953,22.657312,2509090.0,19774080.0,6.0,200.2,2019-06-22,2019-07-09
19NSGC29,2019.0,Engineering geological drilling,113.615773,22.626811,2505618.0,19768978.0,2.0,80.2,2019-06-01,2019-06-06
19NSGC30,2019.0,Engineering geological drilling,113.613589,22.597655,2502383.0,19768810.0,2.0,80.3,2019-06-17,2019-06-23
19NSGC31,2019.0,Engineering geological drilling,113.642278,22.600317,2502730.0,19771757.0,4.0,181.4,2019-06-01,2019-06-17
19NSGC32,2019.0,Engineering geological drilling,113.630272,22.567858,2499111.0,19770585.0,5.0,91.0,2019-06-07,2019-06-15
19NSSW01,2019.0,Hydrogeological drilling,113.665903,22.657232,2509081.0,19774075.0,6.0,200.14,2019-07-13,2019-08-08
